City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
407,baghdad,33.3406,44.4009,55.31,44,0,2.3,IQ,1667878857
408,houma,29.5958,-90.7195,73.0,96,0,3.44,US,1667878801
409,adrar,20.5022,-10.0711,72.39,18,11,9.53,MR,1667878860
410,tarko-sale,64.9225,77.785,19.26,92,100,12.91,RU,1667878860
411,maragheh,37.3917,46.2398,43.07,57,75,18.41,IR,1667878861
412,pemba,-12.974,40.5178,77.68,80,97,9.91,MZ,1667878861
413,wahiawa,21.5028,-158.0236,80.92,71,75,8.05,US,1667878861
414,bukama,-9.2,25.85,66.97,91,99,3.18,CD,1667878862
415,minsk,53.9,27.5667,44.35,93,97,8.39,BY,1667878862
416,maroantsetra,-15.4333,49.7333,71.56,76,7,2.86,MG,1667878863
417,scarborough,54.2797,-0.4044,56.77,87,100,5.99,GB,1667878748
418,geraldton,-28.7667,114.6,73.81,56,40,16.11,AU,1667878863
419,coihaique,-45.5752,-72.0662,54.21,87,20,6.91,CL,1667878863
420,osa,57.2829,55.4567,28.99,95,99,7.72,RU,1667878864
421,aktas,49.7789,72.9608,26.35,72,97,6.53,KZ,1667878864
422,vilhena,-12.7406,-60.1458,68.99,42,4,0.63,BR,1667878865
423,kpandae,8.4689,-0.0113,74.62,64,100,2.89,GH,1667878865
424,mnogovershinnyy,53.9353,139.9242,20.57,84,96,9.51,RU,1667878865
425,sao filipe,14.8961,-24.4956,77.29,68,100,3.18,CV,1667878831
426,bol,13.4586,14.7147,78.4,42,22,13.13,TD,1667878866
427,abu kamal,34.4506,40.9171,62.64,51,99,9.06,SY,1667878866
428,balkanabat,39.5108,54.3671,42.76,50,0,8.16,TM,1667878867
429,kultuk,51.7208,103.6956,32.16,77,100,3.18,RU,1667878867
430,karatuzskoye,53.6072,92.8667,32.18,76,100,1.83,RU,1667878867
431,lansing,42.7325,-84.5555,39.58,69,0,9.22,US,1667878868
432,rudnyy,52.9594,63.1206,28.63,96,85,4.72,KZ,1667878868
433,slupsk,54.4641,17.0287,48.45,89,96,10.96,PL,1667878869
434,jorochito,-18.05,-63.4333,70.03,48,71,4.97,BO,1667878869
435,avera,33.194,-82.5271,65.71,77,2,5.82,US,1667878870
436,severo-yeniseyskiy,60.3725,93.0408,16.83,91,99,7.2,RU,1667878870
437,jalu,29.0331,21.5482,60.96,84,0,7.7,LY,1667878870
438,am timan,11.0297,20.2827,74.98,38,93,5.99,TD,1667878871
439,saint-francois,46.4154,3.9054,40.44,93,0,4.61,FR,1667878871
440,acapulco,16.8634,-99.8901,80.42,89,20,4.61,MX,1667878871
441,hastings,50.8552,0.5729,59.92,76,99,31.03,GB,1667878872
442,chernyshevskiy,63.0128,112.4714,16.36,91,100,1.7,RU,1667878872
443,luziania,-16.2525,-47.9503,67.69,73,44,2.73,BR,1667878872
444,bara,10.3744,10.7288,70.34,28,23,6.33,NG,1667878831
445,qarqin,37.4185,66.0436,45.61,78,100,24.16,AF,1667878873
446,ugoofaaru,5.6667,73.0,81.16,76,28,9.15,MV,1667878873
447,bilibino,68.0546,166.4372,-4.92,95,38,4.47,RU,1667878874
448,aanekoski,62.6946,25.818,42.87,4,100,3.2,FI,1667878874
449,karacakoy,41.4029,28.3834,57.67,78,28,10.49,TR,1667878875
450,cabatuan,10.8794,122.486,85.95,73,99,10.09,PH,1667878875
451,taywarah,33.35,64.4167,37.51,61,79,3.96,AF,1667878876
452,tromso,69.6496,18.957,34.38,93,75,3.44,NO,1667878876
453,gogrial,8.5332,28.1004,75.09,60,84,3.74,SS,1667878876
454,ust-tarka,55.5672,75.705,25.14,89,39,2.44,RU,1667878877
455,sinnamary,5.3833,-52.95,76.95,88,100,6.58,GF,1667878877
456,olinda,-8.0089,-34.8553,80.33,69,40,5.75,BR,1667878878
457,awjilah,29.1081,21.2869,61.11,86,0,7.47,LY,1667878878
458,otjiwarongo,-20.4637,16.6477,58.32,34,0,4.34,NA,1667878879
459,la palma,33.8464,-118.0467,62.31,93,75,3.0,US,1667878879
460,san rafael del sur,11.8485,-86.4384,76.17,91,99,2.89,NI,1667878880
461,oranjemund,-28.55,16.4333,58.32,93,44,3.87,NA,1667878880
462,tongliao,43.6125,122.2653,54.28,19,65,15.1,CN,1667878880
463,balykshi,47.0667,51.8667,35.6,80,75,2.24,KZ,1667878881
464,aripuana,-9.1667,-60.6333,77.41,53,78,1.34,BR,1667878881
465,iwanai,42.9744,140.5089,51.21,64,63,7.7,JP,1667878881
466,saint-pierre,-21.3393,55.4781,76.68,57,0,3.44,RE,1667878582
467,clarence town,-32.5833,151.7833,75.15,54,57,10.02,AU,1667878882
468,urengoy,65.9667,78.3667,20.8,96,100,8.46,RU,1667878883
469,abong mbang,3.9833,13.1833,66.06,99,100,1.57,CM,1667878883
470,turukhansk,65.8167,87.9833,19.29,96,100,8.9,RU,1667878883
